"Date","Price","Open","High","Low","Change %"
"Jan 04, 2024","7.150","7.150","7.170","7.130","0.00%"
"Jan 03, 2024","7.150","7.120","7.160","7.100","0.70%"
"Jan 02, 2024","7.100","7.150","7.160","7.100","-0.56%"
"Jan 01, 2024","7.140","7.110","7.160","7.100","0.71%"
"Dec 29, 2023","7.090","7.160","7.170","7.090","-0.56%"
"Dec 28, 2023","7.130","7.150","7.180","7.130","-0.14%"
"Dec 27, 2023","7.140","7.150","7.160","7.120","-0.28%"
"Dec 26, 2023","7.160","7.150","7.160","7.120","0.14%"
"Dec 22, 2023","7.150","7.150","7.160","7.140","0.00%"
"Dec 21, 2023","7.150","7.160","7.180","7.130","0.28%"
"Dec 20, 2023","7.130","7.120","7.160","7.090","0.00%"
"Dec 19, 2023","7.130","7.120","7.130","7.110","0.28%"
"Dec 18, 2023","7.110","7.110","7.130","7.100","-0.14%"
"Dec 15, 2023","7.120","7.200","7.210","7.100","-0.97%"
"Dec 14, 2023","7.190","7.190","7.220","7.160","0.28%"
"Dec 13, 2023","7.170","7.160","7.180","7.140","0.00%"
"Dec 12, 2023","7.170","7.160","7.180","7.150","0.14%"
"Dec 11, 2023","7.160","7.160","7.180","7.160","-0.14%"
"Dec 08, 2023","7.170","7.170","7.170","7.150","-0.14%"
"Dec 07, 2023","7.180","7.190","7.190","7.150","0.42%"
"Dec 06, 2023","7.150","7.160","7.170","7.150","-0.14%"
"Dec 05, 2023","7.160","7.160","7.160","7.140","0.00%"
"Dec 04, 2023","7.160","7.120","7.170","7.120","0.00%"
"Dec 01, 2023","7.160","7.140","7.180","7.140","-0.14%"
"Nov 30, 2023","7.170","7.180","7.180","7.140","0.56%"
"Nov 29, 2023","7.130","7.130","7.150","7.120","0.00%"
"Nov 28, 2023","7.130","7.120","7.140","7.110","0.00%"
"Nov 24, 2023","7.130","7.130","7.130","7.100","0.28%"
"Nov 23, 2023","7.110","7.140","7.140","7.110","0.14%"
"Nov 22, 2023","7.100","7.100","7.120","7.080","-0.14%"
"Nov 21, 2023","7.110","7.110","7.110","7.080","0.00%"
"Nov 20, 2023","7.110","7.110","7.120","7.080","0.00%"
"Nov 17, 2023","7.110","7.110","7.110","7.080","0.00%"
"Nov 16, 2023","7.110","7.100","7.110","7.070","0.14%"
"Nov 15, 2023","7.100","7.070","7.110","7.070","-0.28%"
"Nov 13, 2023","7.120","7.100","7.120","7.080","0.14%"
"Nov 10, 2023","7.110","7.130","7.130","7.110","-0.14%"
"Nov 09, 2023","7.120","7.120","7.140","7.070","0.14%"
"Nov 08, 2023","7.110","7.060","7.130","7.060","0.28%"
"Nov 07, 2023","7.090","7.070","7.100","7.070","0.00%"
"Nov 06, 2023","7.090","7.090","7.110","7.060","-0.70%"
"Nov 03, 2023","7.140","7.130","7.150","7.080","-0.14%"
"Nov 02, 2023","7.150","7.160","7.170","7.090","0.14%"
"Nov 01, 2023","7.140","7.150","7.160","7.130","0.00%"
"Oct 31, 2023","7.140","7.120","7.160","7.100","-0.14%"
"Oct 30, 2023","7.150","7.120","7.160","7.120","0.00%"
"Oct 27, 2023","7.150","7.140","7.150","7.130","0.14%"
"Oct 26, 2023","7.140","7.160","7.170","7.130","-0.14%"
"Oct 25, 2023","7.150","7.130","7.150","7.120","0.28%"
"Oct 23, 2023","7.130","7.150","7.150","7.130","-0.28%"
"Oct 20, 2023","7.150","7.120","7.160","7.120","0.14%"
"Oct 19, 2023","7.140","7.140","7.150","7.130","0.56%"
"Oct 18, 2023","7.100","7.110","7.130","7.100","-0.28%"
"Oct 17, 2023","7.120","7.130","7.130","7.100","0.00%"
"Oct 16, 2023","7.120","7.100","7.130","7.090","0.14%"
"Oct 13, 2023","7.110","7.130","7.130","7.100","-0.14%"
"Oct 12, 2023","7.120","7.150","7.150","7.110","0.28%"
"Oct 11, 2023","7.100","7.090","7.130","7.090","-0.42%"
"Oct 10, 2023","7.130","7.090","7.130","7.090","0.14%"
"Oct 09, 2023","7.120","7.100","7.130","7.070","-0.14%"
"Oct 06, 2023","7.130","7.100","7.140","7.050","0.42%"
"Oct 05, 2023","7.100","7.090","7.120","7.080","0.28%"
"Oct 04, 2023","7.080","7.030","7.080","7.020","0.43%"
"Oct 03, 2023","7.050","7.050","7.080","7.030","-0.42%"
"Sep 29, 2023","7.080","7.070","7.090","7.040","0.14%"
"Sep 28, 2023","7.070","7.040","7.090","7.040","0.43%"
"Sep 27, 2023","7.040","7.040","7.070","7.040","-0.14%"
"Sep 26, 2023","7.050","7.060","7.060","7.020","-0.14%"
"Sep 25, 2023","7.060","7.060","7.080","7.020","0.00%"
"Sep 22, 2023","7.060","7.060","7.070","7.030","0.14%"
"Sep 21, 2023","7.050","7.080","7.080","7.040","0.14%"
"Sep 20, 2023","7.040","7.050","7.080","7.030","0.00%"
"Sep 18, 2023","7.040","7.050","7.060","7.030","0.00%"
"Sep 15, 2023","7.040","7.040","7.050","7.040","0.14%"
"Sep 14, 2023","7.030","7.040","7.060","7.030","0.00%"
"Sep 13, 2023","7.030","7.020","7.060","7.020","-0.14%"
"Sep 12, 2023","7.040","7.010","7.060","7.010","0.28%"
"Sep 11, 2023","7.020","7.020","7.050","7.020","-0.14%"
"Sep 08, 2023","7.030","7.030","7.040","7.020","0.00%"
"Sep 07, 2023","7.030","7.050","7.050","7.010","0.29%"
"Sep 06, 2023","7.010","7.000","7.040","6.990","0.14%"
"Sep 05, 2023","7.000","7.000","7.030","7.000","0.00%"
"Sep 04, 2023","7.000","6.990","7.020","6.990","0.14%"
"Sep 01, 2023","6.990","7.020","7.030","6.960","-0.14%"
"Aug 31, 2023","7.000","7.040","7.040","6.990","-0.43%"
"Aug 30, 2023","7.030","7.020","7.050","7.010","0.14%"
"Aug 29, 2023","7.020","7.020","7.040","7.000","0.14%"
"Aug 28, 2023","7.010","7.030","7.040","7.000","-0.43%"
"Aug 25, 2023","7.040","7.040","7.050","7.020","-0.42%"
"Aug 24, 2023","7.070","7.040","7.070","7.040","0.43%"
"Aug 23, 2023","7.040","7.000","7.040","7.000","0.00%"
"Aug 22, 2023","7.040","7.040","7.040","7.030","-0.14%"
"Aug 21, 2023","7.050","7.030","7.050","7.030","0.28%"
"Aug 18, 2023","7.030","7.020","7.040","7.010","0.14%"
"Aug 17, 2023","7.020","6.950","7.030","6.950","1.45%"
"Aug 14, 2023","6.920","6.930","6.950","6.900","-0.14%"
"Aug 11, 2023","6.930","6.920","6.940","6.920","0.00%"
"Aug 10, 2023","6.930","6.920","6.940","6.920","0.43%"
"Aug 09, 2023","6.900","6.890","6.930","6.870","-0.14%"
"Aug 08, 2023","6.910","6.890","6.930","6.890","0.14%"
"Aug 07, 2023","6.900","6.880","6.910","6.880","0.00%"
"Aug 04, 2023","6.900","6.880","6.900","6.870","0.15%"
"Aug 03, 2023","6.890","6.880","6.890","6.880","0.15%"
"Aug 02, 2023","6.880","6.880","6.880","6.870","0.15%"
"Aug 01, 2023","6.870","6.870","6.890","6.860","-0.15%"
"Jul 31, 2023","6.880","6.870","6.880","6.860","0.00%"
"Jul 28, 2023","6.880","6.870","6.890","6.860","0.15%"
"Jul 27, 2023","6.870","6.880","6.880","6.860","0.00%"
"Jul 26, 2023","6.870","6.830","6.880","6.830","0.15%"
"Jul 25, 2023","6.860","6.870","6.870","6.850","-0.15%"
"Jul 24, 2023","6.870","6.860","6.870","6.850","0.00%"
"Jul 21, 2023","6.870","6.850","6.870","6.850","-0.15%"
"Jul 20, 2023","6.880","6.890","6.890","6.860","0.29%"
"Jul 19, 2023","6.860","6.860","6.860","6.840","-0.15%"
"Jul 18, 2023","6.870","6.860","6.870","6.850","-0.15%"
"Jul 17, 2023","6.880","6.890","6.890","6.850","0.44%"
"Jul 14, 2023","6.850","6.860","6.870","6.850","0.15%"
"Jul 13, 2023","6.840","6.870","6.870","6.840","0.15%"
"Jul 12, 2023","6.830","6.850","6.870","6.830","-0.15%"
"Jul 11, 2023","6.840","6.830","6.860","6.820","-0.15%"
"Jul 10, 2023","6.850","6.850","6.850","6.830","0.15%"
