"Date","Price","Open","High","Low","Change %"
"Jan 04, 2024","7.156","7.227","7.227","7.149","0.06%"
"Jan 03, 2024","7.152","7.159","7.167","7.135","-0.01%"
"Jan 02, 2024","7.153","7.207","7.207","7.151","-0.08%"
"Jan 01, 2024","7.159","7.187","7.187","7.153","0.29%"
"Dec 29, 2023","7.138","7.177","7.177","7.138","-0.40%"
"Dec 28, 2023","7.167","7.167","7.187","7.163","0.14%"
"Dec 27, 2023","7.157","7.153","7.187","7.152","0.18%"
"Dec 26, 2023","7.144","7.167","7.167","7.139","-0.15%"
"Dec 22, 2023","7.155","7.167","7.167","7.155","0.18%"
"Dec 21, 2023","7.142","7.167","7.167","7.125","0.13%"
"Dec 20, 2023","7.133","7.167","7.167","7.133","0.08%"
"Dec 19, 2023","7.127","7.125","7.133","7.108","0.18%"
"Dec 18, 2023","7.114","7.187","7.187","7.114","-0.21%"
"Dec 15, 2023","7.129","7.167","7.167","7.108","-0.41%"
"Dec 14, 2023","7.158","7.247","7.247","7.145","-1.39%"
"Dec 13, 2023","7.259","7.273","7.273","7.253","-0.12%"
"Dec 12, 2023","7.268","7.277","7.282","7.268","-0.12%"
"Dec 11, 2023","7.277","7.297","7.297","7.268","-0.04%"
"Dec 08, 2023","7.280","7.398","7.398","7.239","0.50%"
"Dec 07, 2023","7.244","7.266","7.266","7.243","-0.01%"
"Dec 06, 2023","7.245","7.287","7.287","7.244","-0.25%"
"Dec 05, 2023","7.263","7.283","7.288","7.257","-0.18%"
"Dec 04, 2023","7.276","7.303","7.303","7.273","-0.34%"
"Dec 01, 2023","7.301","7.327","7.327","7.299","0.21%"
"Nov 30, 2023","7.286","7.287","7.307","7.272","0.23%"
"Nov 29, 2023","7.269","7.277","7.283","7.267","-0.23%"
"Nov 28, 2023","7.286","7.305","7.305","7.273","-0.05%"
"Nov 24, 2023","7.290","7.307","7.327","7.290","0.21%"
"Nov 23, 2023","7.275","7.307","7.307","7.273","-0.10%"
"Nov 22, 2023","7.282","7.307","7.314","7.282","-0.26%"
"Nov 21, 2023","7.301","7.297","7.325","7.276","0.25%"
"Nov 20, 2023","7.283","7.276","7.297","7.259","0.51%"
"Nov 17, 2023","7.246","7.263","7.269","7.237","-0.22%"
"Nov 16, 2023","7.262","7.267","7.267","7.247","0.07%"
"Nov 15, 2023","7.257","7.297","7.297","7.255","-0.81%"
"Nov 13, 2023","7.316","7.357","7.357","7.307","-0.20%"
"Nov 10, 2023","7.331","7.347","7.347","7.324","0.49%"
"Nov 09, 2023","7.295","7.297","7.305","7.287","0.00%"
"Nov 08, 2023","7.295","7.307","7.315","7.290","-0.19%"
"Nov 07, 2023","7.309","7.347","7.357","7.303","-0.25%"
"Nov 06, 2023","7.327","7.347","7.347","7.322","-0.19%"
"Nov 03, 2023","7.341","7.366","7.366","7.341","-0.16%"
"Nov 02, 2023","7.353","7.386","7.386","7.351","-0.54%"
"Nov 01, 2023","7.393","7.446","7.446","7.388","0.28%"
"Oct 31, 2023","7.372","7.484","7.484","7.372","-0.08%"
"Oct 30, 2023","7.378","7.461","7.461","7.374","0.07%"
"Oct 27, 2023","7.373","7.381","7.415","7.371","-0.38%"
"Oct 26, 2023","7.401","7.411","7.411","7.399","0.22%"
"Oct 25, 2023","7.385","7.415","7.415","7.383","-0.51%"
"Oct 23, 2023","7.423","7.460","7.465","7.415","0.35%"
"Oct 20, 2023","7.397","7.437","7.437","7.394","-0.32%"
"Oct 19, 2023","7.421","7.442","7.442","7.410","0.30%"
"Oct 18, 2023","7.399","7.425","7.425","7.389","0.18%"
"Oct 17, 2023","7.386","7.426","7.426","7.369","-0.11%"
"Oct 16, 2023","7.394","7.419","7.419","7.394","0.05%"
"Oct 13, 2023","7.390","7.436","7.436","7.383","0.20%"
"Oct 12, 2023","7.375","7.380","7.402","7.375","0.03%"
"Oct 11, 2023","7.373","7.425","7.425","7.373","-0.70%"
"Oct 10, 2023","7.425","7.481","7.481","7.425","-0.30%"
"Oct 09, 2023","7.447","7.436","7.480","7.406","0.74%"
"Oct 06, 2023","7.392","7.323","7.411","7.288","1.72%"
"Oct 05, 2023","7.267","7.299","7.299","7.259","-0.29%"
"Oct 04, 2023","7.288","7.344","7.344","7.282","0.14%"
"Oct 03, 2023","7.278","7.320","7.320","7.264","0.40%"
"Sep 29, 2023","7.249","7.287","7.287","7.239","-0.32%"
"Sep 28, 2023","7.272","7.203","7.319","7.187","0.89%"
"Sep 27, 2023","7.208","7.208","7.208","7.208","0.10%"
"Sep 26, 2023","7.201","7.220","7.220","7.194","0.29%"
"Sep 25, 2023","7.180","7.209","7.209","7.178","0.22%"
"Sep 22, 2023","7.164","7.154","7.209","7.152","-0.14%"
"Sep 21, 2023","7.174","7.264","7.264","7.171","-0.19%"
"Sep 20, 2023","7.188","7.220","7.220","7.182","0.10%"
"Sep 18, 2023","7.181","7.220","7.230","7.175","-0.13%"
"Sep 15, 2023","7.190","7.186","7.230","7.141","0.84%"
"Sep 14, 2023","7.130","7.197","7.197","7.120","-0.89%"
"Sep 13, 2023","7.194","7.241","7.252","7.192","-0.80%"
"Sep 12, 2023","7.252","7.274","7.274","7.241","0.12%"
"Sep 11, 2023","7.243","7.252","7.262","7.230","0.49%"
"Sep 08, 2023","7.208","7.229","7.229","7.186","0.38%"
"Sep 07, 2023","7.181","7.219","7.221","7.172","-0.36%"
"Sep 06, 2023","7.207","7.247","7.247","7.207","0.14%"
"Sep 05, 2023","7.197","7.212","7.309","7.196","-0.01%"
"Sep 04, 2023","7.198","7.212","7.218","7.196","0.18%"
"Sep 01, 2023","7.185","7.251","7.251","7.181","0.13%"
"Aug 31, 2023","7.176","7.229","7.229","7.176","-0.07%"
"Aug 30, 2023","7.181","7.196","7.205","7.173","-0.07%"
"Aug 29, 2023","7.186","7.185","7.211","7.181","0.00%"
"Aug 28, 2023","7.186","7.240","7.240","7.180","-0.32%"
"Aug 25, 2023","7.209","7.232","7.248","7.209","0.26%"
"Aug 24, 2023","7.190","7.198","7.210","7.187","-0.17%"
"Aug 23, 2023","7.202","7.228","7.228","7.202","-0.35%"
"Aug 22, 2023","7.227","7.272","7.272","7.226","0.00%"
"Aug 21, 2023","7.227","7.261","7.261","7.224","-0.17%"
"Aug 18, 2023","7.239","7.272","7.272","7.226","-0.30%"
"Aug 17, 2023","7.261","7.271","7.271","7.256","0.62%"
"Aug 14, 2023","7.216","7.238","7.238","7.216","0.07%"
"Aug 11, 2023","7.211","7.227","7.227","7.195","0.60%"
"Aug 10, 2023","7.168","7.195","7.293","7.166","-0.28%"
"Aug 09, 2023","7.188","7.227","7.227","7.181","0.13%"
"Aug 08, 2023","7.179","7.205","7.205","7.179","-0.35%"
"Aug 07, 2023","7.204","7.184","7.216","7.173","0.10%"
"Aug 04, 2023","7.197","7.220","7.227","7.197","-0.04%"
"Aug 03, 2023","7.200","7.198","7.271","7.191","0.50%"
"Aug 02, 2023","7.164","7.204","7.204","7.162","-0.01%"
"Aug 01, 2023","7.165","7.205","7.205","7.162","-0.25%"
"Jul 31, 2023","7.183","7.204","7.204","7.175","0.08%"
"Jul 28, 2023","7.177","7.202","7.202","7.174","0.67%"
"Jul 27, 2023","7.129","7.097","7.135","7.097","0.24%"
"Jul 26, 2023","7.112","7.140","7.140","7.105","-0.06%"
"Jul 25, 2023","7.116","7.129","7.129","7.111","0.40%"
"Jul 24, 2023","7.088","7.116","7.116","7.086","-0.24%"
"Jul 21, 2023","7.105","7.118","7.126","7.100","0.20%"
"Jul 20, 2023","7.091","7.094","7.106","7.084","0.21%"
